topic,rank,gene,mean_score
Topic1,1,Blank-28,2.539177656173706
Topic1,2,GALNTL6,2.4679670333862305
Topic1,3,Blank-23,2.4039225578308105
Topic1,4,Blank-7,2.0072484016418457
Topic1,5,Blank-19,1.970423698425293
Topic1,6,Blank-38,1.7438571453094482
Topic1,7,TOP1,1.6170647144317627
Topic1,8,TNNI3K,1.6140400171279907
Topic1,9,RHBDL1,1.5395830869674683
Topic1,10,EPHB1,1.4474529027938843
Topic1,11,CBLN2,1.199379801750183
Topic1,12,DOCK8,1.159501552581787
Topic1,13,NPM2,1.029465675354004
Topic1,14,MPG,0.9647045135498047
Topic1,15,Blank-18,0.8992103338241577
Topic2,1,PINX1,3.326550245285034
Topic2,2,CENPX,2.218270778656006
Topic2,3,SNX24,2.0825133323669434
Topic2,4,CNTN5,1.8867915868759155
Topic2,5,APBA2,1.7891345024108887
Topic2,6,ANAPC1,1.779545783996582
Topic2,7,FAM241B,1.6643208265304565
Topic2,8,RNF4,1.58682382106781
Topic2,9,RUNX2,1.5794364213943481
Topic2,10,POLR2H,1.5179319381713867
Topic2,11,IRF9,1.3468430042266846
Topic2,12,KCNB2,1.3252289295196533
Topic2,13,SORCS2,1.2424051761627197
Topic2,14,ANKRD7,1.236415147781372
Topic2,15,NTHL1,1.0413391590118408
Topic3,1,SOX5,1.5039498805999756
Topic3,2,GRIK4,1.4300504922866821
Topic3,3,NDUFAF8,1.37850022315979
Topic3,4,OLIG2,1.3328601121902466
Topic3,5,SFMBT2,1.320645809173584
Topic3,6,PRELID2,1.3085752725601196
Topic3,7,TIMM8B,1.2284460067749023
Topic3,8,HES1,1.186771035194397
Topic3,9,NFIA,1.0872114896774292
Topic3,10,ZNF804B,1.0640950202941895
Topic3,11,COL19A1,1.0627398490905762
Topic3,12,Blank-11,0.9783976674079895
Topic3,13,KCNH8,0.9678019881248474
Topic3,14,MEIS3,0.9405759572982788
Topic3,15,ATM,0.8494246006011963
